id	quarter	plot.number	plot.part	taxpayer.men	taxpayer.women	no.tax.men	no.tax.women	in.russia.men	in.russia.women	total.men	total.women	owner	rent	other	orthodox	other.christian	other.religion	draftee
63	1	17		1	2	2	1	0	0	3	3	0	6	0	0	0	0	0
64	1	17		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
65	1	17		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
66	1	17		1	1	1	0	0	0	2	1	0	3	0	0	0	0	0
67	1	17		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
68	1	17		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
69	1	17		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
70	1	17		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
71	1	19		2	5	2	0	0	0	0	5	5	5	0	5	0	5	0
72	1	19		1	3	1	1	0	0	2	0	5	6	0	0	5	0	0
73	1	19		1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
74	1	19		1	4	3	0	0	0	0	5	0	5	5	3	0	1	0
75	1	19		2	2	0	0	0	0	2	2	3	1	0	0	0	0	0
76	1	19		3	1	2	3	0	0	5	0	5	6	3	0	0	0	0
77	1	19		1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
78	1	20		2	2	1	0	0	0	3	2	0	5	1	0	0	0	0
79	1	20		1	2	1	1	0	0	2	3	5	0	0	0	0	0	0
80	1	20		2	1	2	1	0	0	4	2	4	2	0	0	0	0	0
81	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
82	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
83	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
84	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
85	1	20		1	1	2	0	0	0	3	1	0	4	0	0	0	0	0
86	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
87	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
88	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
89	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
90	1	20		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
91	1	20		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
92	1	20		1	0	0	1	0	0	1	1	0	0	2	0	0	0	0
93	1	20		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
94	1	20		1	1	2	0	0	0	3	1	0	0	1	0	0	0	0
95	1	21		4	8	4	5	0	0	8	13	8	13	0	0	0	0	0
96	1	21		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
97	1	21		1	3	0	0	0	0	1	3	0	4	0	0	0	0	0
98	1	21		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
99	1	23		1	9	4	4	0	0	5	13	10	8	0	0	0	0	0
100	1	23		1	2	0	0	0	0	1	2	0	3	0	0	0	0	0
101	1	24		3	3	0	0	0	0	3	3	3	3	0	2	0	0	2
102	1	24		1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
103	1	24		0	1	0	0	0	0	0	1	1	0	0	1	0	0	0
104	1	24		0	0	0	1	0	0	0	1	0	0	1	1	0	0	0
105	1	24		4	2	1	1	0	0	5	3	8	0	0	8	0	0	0
106	1	24		1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
107	1	24		1	1	1	0	0	0	2	1	3	0	0	3	0	0	0
108	1	24		3	1	0	2	0	0	3	3	6	0	0	6	0	0	0
109	1	24		1	3	1	0	0	0	2	3	3	2	0	0	0	0	0
110	1	24		2	3	0	0	0	0	2	3	5	0	0	0	0	0	0
111	1	24		0	2	0	0	0	0	0	2	0	0	2	0	0	0	0
112	1	24		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
113	1	25		0	3	2	0	0	0	2	3	5	0	0	5	0	0	0
114	1	25		1	3	0	1	0	0	1	4	3	0	0	0	0	0	0
115	1	25		2	1	1	1	0	0	3	2	5	0	0	0	0	0	0
116	1	25		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
117	1	25		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
118	1	26		4	4	0	0	0	0	4	4	4	4	0	4	0	0	0
119	1	26		0	1	0	1	0	0	0	2	2	0	0	0	0	0	0
120	1	26		0	2	0	1	0	0	0	3	2	1	0	0	0	0	0
121	1	26		2	2	0	0	0	0	2	2	3	1	0	3	0	0	0
122	1	26		1	1	2	0	0	0	3	1	0	4	0	0	0	0	0
123	1	27		2	1	1	0	0	0	3	1	0	4	0	0	0	0	0
124	1	28		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
125	1	28		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
126	1	28		2	3	0	0	0	0	2	3	3	2	0	1	0	0	1
127	1	28		3	0	1	0	0	0	4	0	1	3	0	0	0	0	0
128	1	28		3	1	0	0	0	0	3	1	2	2	0	1	0	0	1
129	1	28		0	1	0	0	0	0	0	1	1	0	0	1	0	0	0
130	1	28		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
131	1	28		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
132	1	28		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
133	1	28		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
134	1	28		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
135	1	29		4	4	0	0	0	0	4	4	2	6	0	0	0	0	0
136	1	29		1	4	1	3	0	0	2	7	6	3	0	0	0	0	0
137	1	29		1	2	0	3	0	0	1	5	5	1	0	0	0	0	0
138	1	29		2	1	1	1	0	0	3	2	4	1	0	0	0	0	0
139	1	29		1	1	1	0	0	0	2	1	0	0	3	0	0	0	0
140	1	31		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
141	1	31		0	2	0	0	0	0	0	2	0	0	2	0	0	0	0
142	1	31		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
143	1	33		1	3	3	0	0	0	4	3	6	1	0	1	1	0	0
144	1	33		1	3	0	3	0	0	1	6	5	2	0	5	0	0	0
145	1	34		1	5	3	1	0	0	4	6	6	4	0	6	0	0	0
146	1	34		2	3	0	1	0	0	2	4	3	3	0	4	0	0	0
147	1	34		1	2	2	0	0	0	3	2	4	1	0	4	0	0	0
148	1	34		2	0	0	0	0	0	2	0	1	1	0	0	0	0	0
149	1	34		1	2	2	0	0	0	3	2	4	1	0	0	1	0	0
150	1	34		1	3	0	0	0	0	1	3	2	2	0	1	0	0	0
151	1	34		0	3	0	0	0	0	0	3	0	3	0	0	0	0	0
152	1	34		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
153	1	34		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
154	1	34		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
155	1	35		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
156	1	35		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
157	1	35		0	2	0	0	0	0	0	2	1	1	0	0	0	0	0
158	1	35		1	2	0	0	0	0	1	2	3	0	0	2	0	0	0
159	1	35		2	2	0	0	0	0	2	2	3	1	0	0	0	0	0
160	1	35		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
161	1	35		2	0	0	0	0	0	2	0	1	1	0	0	0	0	0
162	1	35		2	2	0	0	0	0	2	2	3	1	0	0	0	0	0
163	1	35		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
164	1	35		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
165	1	35		2	2	1	0	0	0	3	2	4	1	0	0	0	0	1
166	1	35		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
167	1	36		2	3	0	2	0	0	2	5	5	2	0	1	0	0	0
168	1	36		1	3	2	0	0	0	3	3	5	1	0	0	0	0	0
169	1	36		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
170	1	36		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
171	1	37		4	5	0	0	0	0	4	5	2	7	0	0	0	0	0
172	1	37		0	2	0	0	0	0	0	2	2	0	0	0	0	0	0
173	1	37		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
174	1	38		1	4	2	3	0	0	3	7	7	3	0	0	0	0	0
175	1	38		2	2	0	1	0	0	2	3	5	0	0	0	0	0	0
176	1	38		0	4	0	0	0	0	0	4	1	3	0	0	0	0	0
177	1	38		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
178	1	38		1	3	2	2	0	0	3	5	6	2	0	0	0	0	0
179	1	38		1	1	0	0	0	0	1	1	2	0	0	0	0	0	1
180	1	38		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
181	1	38		1	1	0	2	0	0	1	3	0	4	0	0	0	0	0
182	1	38		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
183	1	39		5	13	5	3	0	0	10	16	19	7	0	19	0	0	0
184	1	39		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
185	1	39		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
186	1	39		3	1	0	1	0	0	3	2	1	4	0	0	0	0	1
187	1	39		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
188	1	39		2	3	6	2	0	0	8	5	8	5	0	0	0	0	0
189	1	39		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
190	1	39		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
191	1	39		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
192	1	39		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
193	1	39		1	1	3	2	0	0	4	3	7	0	0	6	0	0	0
194	1	39		0	1	1	0	0	0	1	1	0	2	0	0	0	0	0
195	1	40		1	5	0	0	0	0	1	5	2	4	0	2	0	0	0
196	1	40		2	2	0	0	0	0	2	2	3	1	0	0	0	0	0
197	1	40		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
198	1	40		0	0	2	2	0	0	2	2	0	0	4	0	0	0	0
199	1	41		2	3	0	0	0	0	2	3	4	1	0	0	0	0	1
200	1	41		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
201	1	41		1	1	3	0	0	0	4	1	4	1	0	0	0	0	0
202	1	41		3	1	0	0	0	0	3	1	2	2	0	0	0	0	0
203	1	42		2	5	2	3	0	0	4	8	7	5	0	0	0	0	0
204	1	44		2	3	1	1	0	0	3	4	6	1	0	5	0	0	0
205	1	44		1	2	0	0	0	0	1	2	3	0	0	0	0	0	0
206	1	45		2	0	0	0	0	0	2	0	1	1	0	0	0	0	0
207	1	45		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
208	1	45		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
209	1	45		0	3	0	0	0	0	0	3	2	1	0	0	0	0	0
210	1	45		0	1	1	1	0	0	1	2	0	0	3	0	0	0	0
211	1	45		1	1	0	2	0	0	1	3	0	4	0	0	0	0	0
212	1	45		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
213	1	45		0	2	0	1	0	0	0	3	0	0	3	0	0	0	0
214	1	45		0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
215	1	45		1	1	2	1	0	0	3	2	0	0	5	0	0	0	0
216	1	46		1	3	1	0	0	0	2	3	3	2	0	0	0	0	0
217	1	46		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
218	1	46		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
219	1	46		1	4	4	1	0	0	5	5	7	3	0	0	0	0	0
220	1	46		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
221	1	46		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
222	1	47		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
223	1	47		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
224	1	47		1	1	2	0	0	0	3	1	0	0	4	0	0	0	0
225	1	49		1	1	1	1	0	0	3	2	0	0	4	0	0	0	0
226	1	49		2	1	1	0	0	0	3	1	3	1	0	0	0	0	0
227	1	49		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
228	1	50		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
229	1	50		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
230	1	50		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
231	1	50		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
232	1	50		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
233	1	50		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
234	1	50		2	0	0	0	0	0	2	0	0	0	2	0	0	0	0
235	1	50		1	1	1	0	0	0	2	1	3	0	0	3	0	0	0
236	1	50		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
237	1	50		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
238	1	51		1	4	0	0	0	0	1	4	3	2	0	0	0	0	0
239	1	51		1	3	0	0	0	0	1	5	0	6	0	0	0	0	0
240	1	51		1	1	0	0	0	0	2	1	3	0	0	0	0	0	0
241	1	52		2	9	4	3	0	0	6	12	9	9	0	1	0	0	0
242	1	52		1	1	3	1	0	0	4	2	0	6	0	0	0	0	0
243	1	52		1	7	2	0	0	0	3	7	7	3	0	0	0	0	0
244	1	52		1	3	0	0	0	0	1	3	2	2	0	0	0	0	0
245	1	52		1	3	3	1	0	0	4	4	6	2	0	0	0	0	0
246	1	52		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
247	1	52		3	3	0	0	0	0	3	3	3	3	0	0	0	0	0
248	1	52		1	1	4	1	0	0	5	2	0	7	0	0	0	0	0
249	1	52		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
250	1	52		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
251	2	53		2	2	2	0	0	0	4	2	6	0	0	0	0	0	1
252	2	53		4	3	0	0	0	0	4	3	2	5	0	0	0	0	0
253	2	53		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
254	2	54		1	3	1	4	0	0	2	7	9	0	0	0	0	0	0
255	2	54		0	2	0	2	0	0	0	4	3	1	0	0	0	0	0
256	2	54		1	1	2	1	0	0	3	2	0	0	5	0	0	0	0
257	2	55		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
258	2	56		3	6	0	0	0	0	3	6	4	5	0	0	0	0	0
259	2	56		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
260	2	57		4	2	1	1	0	0	5	3	2	6	0	0	0	0	1
261	2	57		1	4	2	1	0	0	3	5	5	3	0	0	0	0	0
262	2	57		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
263	2	57		1	2	1	0	0	0	2	2	4	0	0	0	0	0	0
264	2	58		1	2	0	1	0	0	1	3	3	1	0	0	0	0	0
265	2	58		1	1	0	0	0	0	1	1	1	1	0	0	0	0	0
266	2	58		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
267	2	58		1	1	1	3	0	0	2	4	6	0	0	0	0	0	0
268	2	59		1	2	0	1	0	0	1	3	3	1	0	3	0	0	0
269	2	59		0	3	0	0	0	0	0	3	2	1	0	0	0	0	0
270	2	59		2	4	0	6	0	0	2	10	8	4	0	0	0	0	0
271	2	59		1	2	2	1	0	0	3	3	4	2	0	0	0	0	0
272	2	59		0	2	0	0	0	0	0	2	1	1	0	0	0	0	0
273	2	59		1	2	0	0	0	0	1	2	0	0	3	0	0	0	0
274	2	59		0	2	0	0	0	0	0	2	2	0	0	0	0	0	0
275	2	60		3	6	0	0	0	0	3	6	3	6	0	3	0	0	0
276	2	60		3	2	0	0	0	0	3	2	2	3	0	0	0	0	1
277	2	60		1	1	0	2	0	0	1	3	3	1	0	0	0	0	0
278	2	60		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
279	2	61		2	6	1	3	0	0	3	9	8	4	0	0	0	0	0
280	2	61		1	3	0	0	0	0	1	3	2	2	0	0	0	0	0
281	2	61		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
282	2	61		1	2	0	1	0	0	1	3	3	1	0	0	0	0	0
283	2	61		2	3	0	1	0	0	2	4	5	1	0	0	0	0	0
284	2	61		0	3	0	0	0	0	0	3	3	0	0	0	0	0	0
285	2	61		4	3	1	1	0	0	5	4	3	6	0	0	0	0	0
286	2	61		2	1	2	1	0	0	4	2	5	1	0	0	0	0	0
287	2	61		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
288	2	63		0	0	0	1	0	0	0	1	1	0	0	1	0	0	0
289	2	63		1	5	3	1	0	0	4	6	7	3	0	8	0	0	0
290	2	63		2	1	0	0	0	0	2	1	1	2	0	2	0	0	0
291	2	63		1	1	1	0	0	0	2	1	3	0	0	2	0	0	0
292	2	63		3	1	0	0	0	0	3	1	1	3	0	0	0	0	0
293	2	63		1	4	3	1	0	0	4	5	7	2	0	0	0	0	0
294	2	63		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
295	2	64		2	3	0	1	0	0	2	4	4	2	0	4	0	0	0
296	2	64		6	1	1	0	0	0	7	1	4	4	0	0	0	0	1
297	2	65		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
298	2	65		1	1	0	2	0	0	1	3	4	0	0	0	0	0	0
299	2	65		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
300	2	66		5	5	5	0	0	0	10	5	6	9	0	8	0	0	0
301	2	66		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
302	2	67		2	2	0	1	0	0	2	3	3	2	0	0	0	0	0
303	2	67		3	4	2	3	0	0	5	7	7	5	0	9	0	0	0
304	2	67		4	2	3	3	0	0	7	5	7	5	0	0	0	0	0
305	2	67		1	1	1	0	0	0	2	1	0	3	0	0	0	0	0
306	2	67		2	1	0	2	0	0	2	3	4	1	0	1	0	0	0
307	2	67		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
308	2	67		1	1	2	1	0	0	3	2	5	0	0	0	0	0	0
309	2	68		2	1	0	0	0	0	2	1	3	0	0	0	0	0	1
310	2	68		4	1	0	0	0	0	4	1	1	4	0	0	0	0	1
311	2	68		2	1	1	1	0	0	3	2	3	2	0	0	0	0	0
312	2	68		3	1	2	0	0	0	5	1	4	2	0	0	0	0	0
313	2	68		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
314	2	68		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
315	2	68		1	1	1	1	0	0	2	2	4	0	0	4	0	0	0
316	2	68		2	1	0	0	0	0	2	1	0	0	3	0	0	0	0
317	2	69		1	1	1	0	0	0	2	1	1	2	0	1	0	0	0
318	2	69		2	2	1	0	0	0	3	2	4	1	0	0	0	0	0
319	2	70		0	3	1	0	0	0	1	3	3	1	0	0	0	0	0
320	2	70		0	2	0	0	0	0	0	2	1	1	0	0	0	0	0
321	2	70		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
322	2	70		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
323	2	70		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
324	2	70		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
325	2	70		1	3	2	1	0	0	3	4	7	0	0	0	0	0	0
326	2	70		0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
327	2	70		2	1	0	0	0	0	2	1	2	1	0	0	0	0	0
328	2	70		1	1	0	1	0	0	1	2	3	0	0	0	0	0	0
329	2	71		1	1	0	0	0	0	1	1	1	1	0	1	0	0	0
330	2	71		3	1	0	0	0	0	2	1	1	3	0	0	0	0	0
331	2	71		1	2	0	0	0	0	1	2	3	0	0	0	0	0	0
332	2	71		1	1	1	0	0	0	2	1	3	0	0	0	0	0	0
333	2	71		0	1	1	1	0	0	1	2	0	0	3	0	0	0	0
334	2	71		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
335	2	72		1	3	0	1	0	0	1	4	0	5	0	0	0	0	0
336	2	72		1	1	1	1	0	0	2	2	0	4	0	0	0	0	0
337	2	72		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
338	2	72		1	1	1	0	0	0	2	1	3	0	0	0	0	0	0
339	2	73		3	6	1	4	0	0	4	10	9	5	0	0	0	0	0
340	2	73		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
341	2	73		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
342	2	73		0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
343	2	73		2	1	0	0	0	0	2	1	2	1	0	0	0	0	0
344	2	74		1	2	0	0	0	0	1	2	2	1	0	0	0	0	0
345	2	74		1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
346	2	74		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
347	2	75		1	3	1	1	0	0	2	4	4	2	0	0	0	0	0
348	2	75		1	2	1	1	0	0	2	3	4	1	0	0	0	0	0
349	2	75		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
350	2	75		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
351	2	75		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
352	2	76		1	2	1	0	0	0	2	2	4	0	0	0	0	0	0
353	2	77		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
354	2	77		1	5	4	2	0	0	5	7	9	3	0	0	0	0	0
355	2	77		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
356	2	79		3	4	1	3	0	0	4	7	6	5	0	0	0	0	0
357	2	79		3	7	1	2	0	0	4	9	8	5	0	0	0	0	0
358	2	80		0	4	0	1	0	0	0	5	3	2	0	0	0	0	0
359	2	80		1	1	0	1	0	0	1	2	0	0	3	0	0	0	0
360	2	81		0	1	0	1	0	0	0	2	1	1	0	0	0	0	0
361	2	81		1	4	1	0	0	0	2	4	1	5	0	0	0	0	0
362	2	82		2	2	3	3	0	0	5	5	8	2	0	0	0	0	0
363	2	83		1	4	0	2	0	0	1	6	4	3	0	0	0	0	0
364	2	83		1	0	1	0	0	0	2	0	2	0	0	0	0	0	0
365	2	83		0	1	1	0	0	0	1	1	0	0	2	0	0	0	0
366	2	85		0	2	0	0	0	0	0	2	0	2	0	0	0	0	0
367	2	85		2	1	0	0	0	0	2	1	0	0	3	0	0	0	0
368	2	86		1	1	1	1	0	0	2	2	4	0	0	0	0	0	0
369	2	86		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
370	2	86		1	1	0	0	0	0	1	1	0	0	2	0	0	0	0
371	2	86		2	1	0	0	0	0	2	1	3	0	0	0	0	0	0
372	2	87		6	2	0	1	0	0	6	3	3	6	0	0	0	0	0
373	2	87		1	1	0	3	0	0	1	4	0	5	0	0	0	0	0
374	2	87		1	2	2	2	0	0	3	4	5	2	0	0	0	0	0
375	2	87		1	1	0	0	0	0	1	1	2	0	0	0	0	0	0
376	2	87		1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
377	2	88		1	1	1	2	0	0	2	3	5	0	0	0	0	0	0
378	2	89		0	2	0	1	0	0	0	3	2	1	0	0	0	0	0
379	2	89		0	1	0	1	0	0	0	2	0	2	0	0	0	0	0
380	2	89		2	2	1	0	0	0	3	2	4	1	0	0	0	0	0
381	2	89		1	1	0	0	0	0	1	1	0	2	0	0	0	0	0
382	2	89		1	1	1	1	0	0	2	2	0	4	0	0	0	0	0
