,alpha,bw,cell_size,convex_hull,convex_hull_buffer,kernel,s,year
80,1,50,25,True,1,biweight,0.549,1900
81,1,50,25,True,1,uniform,0.494,1900
82,1,50,25,True,1,gaussian,0.304,1900
83,1,50,25,True,1,triangle,0.546,1900
84,1,50,25,True,1,epanechnikov,0.532,1900
85,1,100,25,True,1,biweight,0.349,1900
86,1,100,25,True,1,uniform,0.337,1900
87,1,100,25,True,1,gaussian,0.199,1900
88,1,100,25,True,1,triangle,0.347,1900
89,1,100,25,True,1,epanechnikov,0.34,1900
90,1,150,25,True,1,biweight,0.286,1900
91,1,150,25,True,1,uniform,0.264,1900
92,1,150,25,True,1,gaussian,0.143,1900
93,1,150,25,True,1,triangle,0.285,1900
94,1,150,25,True,1,epanechnikov,0.279,1900
95,1,250,25,True,1,biweight,0.204,1900
96,1,250,25,True,1,uniform,0.185,1900
97,1,250,25,True,1,gaussian,0.094,1900
98,1,250,25,True,1,triangle,0.203,1900
99,1,250,25,True,1,epanechnikov,0.195,1900
100,1,25,50,True,1,biweight,0.731,1900
101,1,25,50,True,1,uniform,0.663,1900
102,1,25,50,True,1,gaussian,0.48,1900
103,1,25,50,True,1,triangle,0.728,1900
104,1,25,50,True,1,epanechnikov,0.718,1900
105,1,50,50,True,1,biweight,0.563,1900
106,1,50,50,True,1,uniform,0.492,1900
107,1,50,50,True,1,gaussian,0.303,1900
108,1,50,50,True,1,triangle,0.557,1900
109,1,50,50,True,1,epanechnikov,0.538,1900
110,1,100,50,True,1,biweight,0.35,1900
111,1,100,50,True,1,uniform,0.327,1900
112,1,100,50,True,1,gaussian,0.199,1900
113,1,100,50,True,1,triangle,0.348,1900
114,1,100,50,True,1,epanechnikov,0.344,1900
115,1,150,50,True,1,biweight,0.285,1900
116,1,150,50,True,1,uniform,0.263,1900
117,1,150,50,True,1,gaussian,0.143,1900
118,1,150,50,True,1,triangle,0.283,1900
119,1,150,50,True,1,epanechnikov,0.279,1900
120,1,250,50,True,1,biweight,0.204,1900
121,1,250,50,True,1,uniform,0.184,1900
122,1,250,50,True,1,gaussian,0.094,1900
123,1,250,50,True,1,triangle,0.203,1900
124,1,250,50,True,1,epanechnikov,0.194,1900
125,1,25,75,True,1,biweight,0.666,1900
126,1,25,75,True,1,uniform,0.718,1900
127,1,25,75,True,1,gaussian,0.481,1900
128,1,25,75,True,1,triangle,0.665,1900
129,1,25,75,True,1,epanechnikov,0.677,1900
130,1,50,75,True,1,biweight,0.548,1900
131,1,50,75,True,1,uniform,0.508,1900
132,1,50,75,True,1,gaussian,0.311,1900
133,1,50,75,True,1,triangle,0.545,1900
134,1,50,75,True,1,epanechnikov,0.535,1900
135,1,100,75,True,1,biweight,0.338,1900
136,1,100,75,True,1,uniform,0.321,1900
137,1,100,75,True,1,gaussian,0.2,1900
138,1,100,75,True,1,triangle,0.335,1900
139,1,100,75,True,1,epanechnikov,0.326,1900
140,1,150,75,True,1,biweight,0.288,1900
141,1,150,75,True,1,uniform,0.255,1900
142,1,150,75,True,1,gaussian,0.143,1900
143,1,150,75,True,1,triangle,0.287,1900
144,1,150,75,True,1,epanechnikov,0.278,1900
145,1,250,75,True,1,biweight,0.204,1900
146,1,250,75,True,1,uniform,0.18,1900
147,1,250,75,True,1,gaussian,0.094,1900
148,1,250,75,True,1,triangle,0.203,1900
149,1,250,75,True,1,epanechnikov,0.194,1900
150,1,25,25,True,1,biweight,0.875,1920
151,1,25,25,True,1,uniform,0.867,1920
152,1,25,25,True,1,gaussian,0.708,1920
153,1,25,25,True,1,triangle,0.875,1920
154,1,25,25,True,1,epanechnikov,0.871,1920
155,1,50,25,True,1,biweight,0.779,1920
156,1,50,25,True,1,uniform,0.743,1920
157,1,50,25,True,1,gaussian,0.515,1920
158,1,50,25,True,1,triangle,0.778,1920
159,1,50,25,True,1,epanechnikov,0.77,1920
160,1,100,25,True,1,biweight,0.586,1920
161,1,100,25,True,1,uniform,0.545,1920
162,1,100,25,True,1,gaussian,0.333,1920
163,1,100,25,True,1,triangle,0.583,1920
164,1,100,25,True,1,epanechnikov,0.57,1920
165,1,150,25,True,1,biweight,0.476,1920
166,1,150,25,True,1,uniform,0.44,1920
167,1,150,25,True,1,gaussian,0.25,1920
168,1,150,25,True,1,triangle,0.474,1920
169,1,150,25,True,1,epanechnikov,0.463,1920
170,1,250,25,True,1,biweight,0.343,1920
171,1,250,25,True,1,uniform,0.308,1920
172,1,250,25,True,1,gaussian,0.181,1920
173,1,250,25,True,1,triangle,0.341,1920
174,1,250,25,True,1,epanechnikov,0.331,1920
175,1,25,50,True,1,biweight,0.884,1920
176,1,25,50,True,1,uniform,0.88,1920
177,1,25,50,True,1,gaussian,0.704,1920
178,1,25,50,True,1,triangle,0.883,1920
179,1,25,50,True,1,epanechnikov,0.879,1920
180,1,50,50,True,1,biweight,0.773,1920
181,1,50,50,True,1,uniform,0.75,1920
182,1,50,50,True,1,gaussian,0.516,1920
183,1,50,50,True,1,triangle,0.772,1920
184,1,50,50,True,1,epanechnikov,0.766,1920
185,1,100,50,True,1,biweight,0.59,1920
186,1,100,50,True,1,uniform,0.558,1920
187,1,100,50,True,1,gaussian,0.334,1920
188,1,100,50,True,1,triangle,0.587,1920
189,1,100,50,True,1,epanechnikov,0.573,1920
190,1,150,50,True,1,biweight,0.476,1920
191,1,150,50,True,1,uniform,0.44,1920
192,1,150,50,True,1,gaussian,0.252,1920
193,1,150,50,True,1,triangle,0.473,1920
194,1,150,50,True,1,epanechnikov,0.462,1920
195,1,250,50,True,1,biweight,0.342,1920
196,1,250,50,True,1,uniform,0.307,1920
197,1,250,50,True,1,gaussian,0.181,1920
198,1,250,50,True,1,triangle,0.34,1920
199,1,250,50,True,1,epanechnikov,0.33,1920
200,1,25,75,True,1,biweight,0.928,1920
201,1,25,75,True,1,uniform,0.926,1920
202,1,25,75,True,1,gaussian,0.741,1920
203,1,25,75,True,1,triangle,0.928,1920
204,1,25,75,True,1,epanechnikov,0.922,1920
205,1,50,75,True,1,biweight,0.698,1920
206,1,50,75,True,1,uniform,0.688,1920
207,1,50,75,True,1,gaussian,0.517,1920
208,1,50,75,True,1,triangle,0.697,1920
209,1,50,75,True,1,epanechnikov,0.688,1920
210,1,100,75,True,1,biweight,0.577,1920
211,1,100,75,True,1,uniform,0.513,1920
212,1,100,75,True,1,gaussian,0.334,1920
213,1,100,75,True,1,triangle,0.575,1920
214,1,100,75,True,1,epanechnikov,0.557,1920
215,1,150,75,True,1,biweight,0.48,1920
216,1,150,75,True,1,uniform,0.432,1920
217,1,150,75,True,1,gaussian,0.252,1920
218,1,150,75,True,1,triangle,0.478,1920
219,1,150,75,True,1,epanechnikov,0.467,1920
220,1,250,75,True,1,biweight,0.341,1920
221,1,250,75,True,1,uniform,0.306,1920
222,1,250,75,True,1,gaussian,0.183,1920
223,1,250,75,True,1,triangle,0.34,1920
224,1,250,75,True,1,epanechnikov,0.33,1920
