,district,page_number,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
131,Pietarin_esikaupunki,132,15,19.0,4.0,15.0,0.0,0.0,19,34.0,35.0,4.0,14.0,0.0,0.0,0.0,0.0
132,Pietarin_esikaupunki,133,18,19.0,15.0,12.0,0.0,0.0,33,31.0,36.0,3.0,25.0,0.0,0.0,0.0,0.0
133,Pietarin_esikaupunki,134,16,15.0,8.0,14.0,0.0,0.0,24,29.0,23.0,5.0,25.0,4.0,0.0,0.0,0.0
134,Pietarin_esikaupunki,135,9,23.0,8.0,2.0,0.0,0.0,17,25.0,13.0,2.0,27.0,0.0,0.0,0.0,0.0
135,Pietarin_esikaupunki,136,19,22.0,20.0,16.0,0.0,0.0,39,38.0,39.0,12.0,26.0,24.0,0.0,0.0,0.0
136,Pietarin_esikaupunki,137,19,20.0,8.0,12.0,0.0,0.0,27,32.0,47.0,7.0,5.0,0.0,0.0,0.0,1.0
137,Pietarin_esikaupunki,138,10,16.0,3.0,11.0,0.0,0.0,13,27.0,26.0,3.0,11.0,9.0,0.0,0.0,1.0
138,Pietarin_esikaupunki,139,15,20.0,5.0,5.0,0.0,0.0,20,25.0,24.0,9.0,12.0,10.0,0.0,0.0,1.0
139,Pietarin_esikaupunki,140,14,22.0,5.0,5.0,0.0,0.0,19,27.0,35.0,6.0,5.0,9.0,0.0,0.0,1.0
140,Pietarin_esikaupunki,141,17,20.0,2.0,4.0,0.0,0.0,19,24.0,17.0,6.0,20.0,3.0,0.0,0.0,0.0
141,Pietarin_esikaupunki,142,14,22.0,5.0,5.0,0.0,0.0,25,37.0,40.0,13.0,9.0,2.0,0.0,0.0,0.0
142,Pietarin_esikaupunki,143,17,26.0,20.0,27.0,0.0,0.0,37,53.0,67.0,21.0,2.0,16.0,0.0,0.0,1.0
143,Pietarin_esikaupunki,144,13,22.0,14.0,10.0,0.0,0.0,27,32.0,42.0,7.0,10.0,0.0,0.0,0.0,0.0
144,Pietarin_esikaupunki,145,19,17.0,14.0,12.0,0.0,0.0,33,29.0,43.0,5.0,14.0,13.0,0.0,0.0,1.0
145,Pietarin_esikaupunki,146,21,17.0,12.0,10.0,0.0,0.0,33,29.0,8.0,10.0,44.0,4.0,0.0,0.0,0.0
146,Pietarin_esikaupunki,147,12,18.0,8.0,8.0,0.0,0.0,20,26.0,12.0,6.0,28.0,0.0,0.0,0.0,1.0
147,Pietarin_esikaupunki,148,15,19.0,9.0,9.0,0.0,0.0,24,28.0,26.0,12.0,14.0,7.0,0.0,0.0,0.0
148,Pietarin_esikaupunki,149,22,19.0,11.0,18.0,0.0,0.0,33,37.0,12.0,9.0,49.0,0.0,0.0,0.0,0.0
149,Pietarin_esikaupunki,150,27,29.0,22.0,16.0,0.0,0.0,49,45.0,1.0,0.0,93.0,3.0,0.0,0.0,1.0
150,Pietarin_esikaupunki,151,21,28.0,29.0,20.0,0.0,0.0,50,48.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0
151,Pietarin_esikaupunki,152,26,19.0,10.0,12.0,0.0,0.0,36,31.0,2.0,0.0,65.0,0.0,0.0,0.0,1.0
152,Pietarin_esikaupunki,153,27,25.0,17.0,18.0,0.0,0.0,44,43.0,6.0,2.0,79.0,1.0,0.0,0.0,1.0
153,Pietarin_esikaupunki,154,16,16.0,8.0,10.0,0.0,0.0,24,26.0,13.0,3.0,34.0,3.0,0.0,0.0,0.0
154,Anina,155,9,15.0,2.0,7.0,0.0,0.0,11,22.0,12.0,0.0,21.0,7.0,0.0,0.0,1.0
155,Anina,156,8,8.0,4.0,4.0,0.0,0.0,12,12.0,2.0,0.0,22.0,1.0,0.0,0.0,0.0
156,Anina,157,13,15.0,4.0,15.0,0.0,0.0,17,30.0,37.0,5.0,5.0,1.0,0.0,0.0,0.0
157,Anina,158,14,12.0,6.0,10.0,0.0,0.0,20,22.0,5.0,3.0,34.0,0.0,0.0,0.0,0.0
158,Anina,159,19,20.0,14.0,17.0,0.0,0.0,33,37.0,17.0,9.0,44.0,0.0,0.0,0.0,0.0
159,Anina,160,16,19.0,9.0,12.0,0.0,0.0,25,31.0,20.0,1.0,35.0,1.0,0.0,0.0,0.0
160,Anina,161,16,23.0,11.0,11.0,0.0,0.0,27,34.0,15.0,1.0,45.0,0.0,0.0,0.0,0.0
161,Anina,162,14,18.0,14.0,11.0,0.0,0.0,28,29.0,15.0,14.0,28.0,5.0,0.0,0.0,0.0
162,Anina,163,22,16.0,3.0,14.0,0.0,0.0,25,30.0,9.0,1.0,45.0,3.0,0.0,0.0,2.0
163,Anina,164,23,17.0,8.0,15.0,0.0,0.0,31,32.0,9.0,0.0,54.0,0.0,0.0,0.0,0.0
164,Anina,165,19,19.0,14.0,19.0,0.0,0.0,33,38.0,14.0,2.0,55.0,0.0,0.0,0.0,0.0
165,Anina,166,20,18.0,9.0,6.0,0.0,0.0,29,24.0,16.0,3.0,34.0,2.0,0.0,0.0,2.0
166,Anina,167,13,22.0,7.0,11.0,0.0,0.0,20,24.0,14.0,1.0,29.0,0.0,0.0,0.0,0.0
167,Anina,168,18,23.0,18.0,11.0,0.0,0.0,36,33.0,7.0,0.0,62.0,0.0,0.0,0.0,0.0
168,Anina,169,17,23.0,11.0,11.0,0.0,0.0,28,34.0,7.0,1.0,54.0,11.0,0.0,0.0,0.0
169,Anina,170,19,18.0,7.0,14.0,0.0,0.0,26,32.0,14.0,2.0,42.0,7.0,0.0,0.0,1.0
170,Anina,171,20,19.0,5.0,9.0,0.0,0.0,25,28.0,31.0,7.0,15.0,4.0,0.0,0.0,0.0
171,Anina,172,20,20.0,13.0,20.0,0.0,0.0,33,40.0,25.0,6.0,42.0,6.0,0.0,0.0,0.0
172,Papula,173,18,21.0,11.0,15.0,0.0,0.0,29,36.0,14.0,3.0,48.0,0.0,1.0,0.0,1.0
173,Papula,174,22,17.0,11.0,10.0,0.0,0.0,33,27.0,15.0,6.0,39.0,0.0,0.0,0.0,1.0
174,Papula,175,19,23.0,10.0,9.0,0.0,0.0,29,32.0,22.0,3.0,36.0,5.0,0.0,0.0,0.0
175,Papula,176,26,15.0,10.0,4.0,0.0,0.0,36,19.0,54.0,1.0,0.0,3.0,0.0,0.0,1.0
176,Papula,177,12,8.0,20.0,2.0,0.0,0.0,32,10.0,40.0,2.0,0.0,0.0,0.0,0.0,3.0
177,Papula,178,9,7.0,24.0,4.0,0.0,0.0,33,11.0,44.0,0.0,0.0,5.0,0.0,0.0,8.0
178,Papula,179,12,22.0,7.0,6.0,0.0,0.0,19,28.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0
179,Papula,180,14,24.0,15.0,14.0,0.0,0.0,29,38.0,17.0,28.0,22.0,0.0,0.0,0.0,1.0
180,Papula,181,11,24.0,3.0,10.0,0.0,0.0,14,34.0,34.0,8.0,6.0,1.0,0.0,0.0,0.0
181,Papula,182,20,23.0,13.0,17.0,0.0,0.0,33,40.0,57.0,14.0,2.0,5.0,0.0,0.0,0.0
182,Papula,183,20,26.0,14.0,15.0,0.0,0.0,34,41.0,53.0,8.0,14.0,1.0,0.0,0.0,1.0
183,Papula,184,11,13.0,7.0,3.0,0.0,0.0,18,16.0,14.0,17.0,2.0,0.0,0.0,0.0,0.0
184,Pantsarlahti,185,10,26.0,10.0,12.0,0.0,0.0,20,38.0,35.0,18.0,5.0,6.0,0.0,0.0,0.0
185,Pantsarlahti,186,9,26.0,6.0,6.0,0.0,0.0,15,32.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0
186,Pantsarlahti,187,16,26.0,7.0,12.0,0.0,0.0,23,38.0,39.0,12.0,10.0,0.0,0.0,0.0,0.0
187,Pantsarlahti,188,15,18.0,10.0,13.0,0.0,0.0,25,31.0,5.0,1.0,50.0,1.0,0.0,0.0,1.0
188,Pantsarlahti,189,26,21.0,6.0,15.0,0.0,0.0,32,36.0,11.0,5.0,52.0,11.0,0.0,0.0,0.0
189,Pantsarlahti,190,25,22.0,17.0,21.0,0.0,0.0,42,43.0,14.0,6.0,65.0,0.0,0.0,0.0,0.0
190,Pantsarlahti,191,21,20.0,9.0,8.0,0.0,0.0,30,28.0,0.0,5.0,53.0,0.0,0.0,0.0,2.0
191,Pantsarlahti,192,13,16.0,4.0,3.0,0.0,0.0,17,19.0,25.0,2.0,9.0,0.0,0.0,0.0,0.0
192,Pantsarlahti,193,12,17.0,8.0,10.0,0.0,0.0,20,27.0,38.0,8.0,1.0,0.0,0.0,0.0,0.0
193,Pantsarlahti,194,13,18.0,7.0,6.0,0.0,0.0,20,24.0,14.0,18.0,12.0,0.0,0.0,0.0,0.0
194,Pantsarlahti,195,15,25.0,9.0,11.0,0.0,0.0,24,36.0,42.0,7.0,11.0,7.0,0.0,0.0,1.0
195,Pantsarlahti,196,12,21.0,5.0,10.0,0.0,0.0,17,31.0,15.0,7.0,26.0,0.0,0.0,0.0,0.0
196,Pantsarlahti,197,21,20.0,13.0,12.0,0.0,0.0,34,32.0,40.0,11.0,14.0,0.0,0.0,0.0,2.0
197,Pantsarlahti,198,15,17.0,12.0,9.0,0.0,0.0,27,26.0,28.0,6.0,19.0,0.0,0.0,0.0,0.0
198,Pantsarlahti,199,17,16.0,3.0,12.0,0.0,0.0,20,28.0,4.0,3.0,41.0,1.0,0.0,0.0,2.0
199,Pantsarlahti,200,18,24.0,15.0,15.0,0.0,0.0,33,39.0,17.0,2.0,53.0,2.0,0.0,0.0,0.0
200,Pantsarlahti,201,19,18.0,11.0,8.0,0.0,0.0,30,26.0,18.0,5.0,33.0,0.0,0.0,0.0,0.0
201,Pantsarlahti,202,15,18.0,11.0,18.0,0.0,0.0,26,36.0,14.0,3.0,45.0,5.0,0.0,0.0,0.0
