district,plot_number,geometry,lutheran_density,orthodox_density,total_density,estate_income,business_income,salary_pension_income,total_income,total_income_log
Anina,120,POINT (595890.2123212545 6731420.908531481),34.0735,1.9473,36.0209,0.0,0.0,1.0,1.0,0.0
Anina,121,POINT (595908.2343404235 6731446.008482382),37.9435,2.5219,40.4679,,,,,
Anina,122,POINT (595927.0531499499 6731472.308920221),38.2922,3.201,41.5013,,,,,
Anina,123,POINT (595892.3262068895 6731497.839718305),44.5496,3.6528,48.2325,,,,,
Anina,124,POINT (595873.3132888019 6731471.53471965),45.2841,2.9987,48.3004,,,,,
Anina,125,POINT (595855.1826573545 6731446.623037185),46.481,2.2349,48.7217,,,,,
Anina,126,POINT (595830.24964396 6731464.410849762),49.922,2.1168,52.0449,,,,,
Anina,127,POINT (595848.1420567096 6731489.362501209),49.0173,2.8788,51.9169,,,,,
Anina,128,POINT (595867.1047557911 6731515.908385641),47.6155,3.5921,51.2443,,,,,
Anina,129,POINT (595833.0193454376 6731541.128163705),54.2093,4.0376,58.4338,,,,,
Anina,13,POINT (595956.5979978105 6731756.700909508),22.3175,1.7299,24.1618,,,,,
Anina,130,POINT (595813.6344872264 6731514.664000697),55.204,3.3256,58.6847,,,,,
Anina,131,POINT (595795.4991297665 6731489.972242443),54.1618,2.6647,56.8956,,,,,
Anina,132,POINT (595770.7677804596 6731507.498847315),55.2655,3.1083,58.5792,,,,,
Anina,133,POINT (595788.7490032467 6731532.198393992),54.6465,3.6911,58.6571,,,,,
Anina,134,POINT (595808.1091825048 6731558.853089252),54.2746,4.4181,59.0514,,,,,
Anina,14,POINT (595997.1425285711 6731721.788010134),26.0438,1.6382,27.7712,1.0,0.0,0.0,1.0,0.0
Anina,15,POINT (596012.6255933521 6731760.777573744),24.369,1.6268,26.0983,1.0,0.0,0.0,1.0,0.0
Anina,16,POINT (596040.7780040853 6731804.230246307),25.4981,1.81,27.4344,1.0,0.0,1.0,2.0,0.6931
Anina,16,POINT (596040.7780040853 6731804.230246307),25.4981,1.81,27.4344,0.0,0.0,1.0,1.0,0.0
Anina,16,POINT (596040.7780040853 6731804.230246307),25.4981,1.81,27.4344,0.0,0.0,1.0,1.0,0.0
Anina,17,POINT (596100.609892413 6731787.227639145),25.8067,1.528,27.4403,2.0,0.0,0.0,2.0,0.6931
Anina,17,POINT (596100.609892413 6731787.227639145),25.8067,1.528,27.4403,0.0,0.0,1.0,1.0,0.0
Anina,17,POINT (596100.609892413 6731787.227639145),25.8067,1.528,27.4403,0.0,0.0,1.0,1.0,0.0
Anina,17,POINT (596100.609892413 6731787.227639145),25.8067,1.528,27.4403,0.0,0.0,1.0,1.0,0.0
Anina,18,POINT (596083.6761848837 6731742.438941897),26.9571,1.3088,28.3304,,,,,
Anina,19,POINT (596066.8131172083 6731697.827630453),27.9874,1.2598,29.2889,,,,,
Anina,2,POINT (596169.6605290215 6731832.549020426),21.1175,1.2355,22.447,1.0,0.0,0.0,1.0,0.0
