,district,plot_number,estate_income,business_income,salary_pension_income
120,Valli,23,0.0,0.0,1.0
121,Valli,23,0.0,0.0,1.0
122,Valli,23,0.0,0.0,3.0
123,Valli,23,0.0,0.0,5.0
124,Valli,24,9.0,0.0,0.0
125,Valli,24,0.0,15.0,0.0
126,Valli,24,0.0,0.0,5.0
127,Valli,24,0.0,0.0,15.0
128,Valli,24,0.0,0.0,1.0
129,Valli,24,0.0,0.0,2.0
130,Valli,24,0.0,0.0,40.0
131,Valli,24,0.0,0.0,2.0
132,Valli,24,0.0,0.0,2.0
133,Valli,24,0.0,0.0,2.0
134,Valli,24,0.0,0.0,2.0
135,Valli,24,0.0,0.0,12.0
136,Valli,24,0.0,0.0,12.0
137,Valli,24,0.0,0.0,10.0
138,Valli,24,0.0,0.0,10.0
139,Valli,24,0.0,0.0,10.0
140,Valli,25,4.0,0.0,0.0
141,Valli,25,0.0,0.0,20.0
142,Valli,25,0.0,0.0,1.0
143,Valli,25,0.0,0.0,1.0
144,Valli,25,0.0,0.0,2.0
145,Valli,25,0.0,0.0,1.0
146,Valli,25,0.0,0.0,1.0
147,Valli,25,0.0,0.0,1.0
148,Valli,26,17.0,0.0,8.0
149,Valli,26,0.0,0.0,8.0
150,Valli,26,0.0,0.0,12.0
151,Valli,26,0.0,0.0,5.0
152,Valli,26,0.0,0.0,5.0
153,Valli,26,0.0,0.0,1.0
154,Valli,26,0.0,40.0,0.0
155,Valli,26,0.0,0.0,1.0
156,Valli,26,0.0,0.0,1.0
157,Valli,26,0.0,0.0,1.0
158,Valli,26,0.0,0.0,1.0
159,Valli,26,0.0,0.0,4.0
160,Valli,26,0.0,0.0,1.0
161,Valli,26,0.0,0.0,1.0
162,Valli,27,12.0,0.0,0.0
163,Valli,27,0.0,0.0,2.0
164,Valli,27,0.0,0.0,1.0
165,Valli,28,28.0,0.0,0.0
166,Valli,28,0.0,15.0,0.0
167,Valli,28,0.0,40.0,0.0
168,Valli,28,0.0,8.0,0.0
169,Valli,28,0.0,10.0,0.0
170,Valli,28,0.0,0.0,1.0
171,Valli,28,0.0,0.0,1.0
172,Valli,28,0.0,0.0,1.0
173,Valli,28,0.0,0.0,1.0
174,Valli,28,0.0,0.0,1.0
175,Valli,"29,30",26.0,70.0,0.0
176,Valli,"29,30",0.0,0.0,65.0
177,Valli,"29,30",0.0,0.0,1.0
178,Valli,"29,30",0.0,40.0,0.0
179,Valli,"29,30",0.0,0.0,3.0
180,Valli,"29,30",0.0,14.0,0.0
181,Valli,"29,30",0.0,2.0,0.0
182,Valli,"29,30",0.0,0.0,1.0
183,Valli,"31,32",6.0,0.0,6.0
184,Valli,33,9.0,0.0,0.0
185,Valli,33,0.0,22.0,0.0
186,Valli,33,0.0,0.0,1.0
187,Valli,33,0.0,5.0,0.0
188,Valli,33,0.0,0.0,2.0
189,Valli,34,30.0,0.0,0.0
190,Valli,34,0.0,22.0,0.0
191,Valli,34,0.0,18.0,0.0
192,Valli,34,0.0,9.0,0.0
193,Valli,34,0.0,0.0,2.0
194,Valli,35,15.0,500.0,0.0
195,Valli,35,0.0,6.0,0.0
196,Valli,35,0.0,0.0,1.0
197,Valli,35,0.0,3.0,0.0
198,Valli,35,0.0,0.0,8.0
199,Valli,35,0.0,8.0,0.0
200,Valli,35,0.0,0.0,1.0
201,Valli,35,0.0,0.0,3.0
202,Valli,35,0.0,0.0,3.0
203,Valli,35,0.0,0.0,1.0
204,Valli,35,0.0,0.0,1.0
205,Valli,35,0.0,0.0,1.0
206,Valli,35,0.0,0.0,2.0
207,Valli,35,0.0,0.0,1.0
208,Valli,36,8.0,0.0,28.0
209,Valli,36,0.0,10.0,0.0
210,Valli,36,0.0,4.0,0.0
211,Valli,36,0.0,0.0,1.0
212,Valli,36,0.0,0.0,1.0
213,Valli,36,0.0,0.0,1.0
214,Valli,37,30.0,0.0,0.0
215,Valli,37,0.0,28.0,0.0
216,Valli,37,0.0,0.0,4.0
217,Valli,37,0.0,0.0,1.0
218,Valli,37,0.0,0.0,1.0
219,Valli,37,0.0,0.0,1.0
220,Valli,37,0.0,0.0,2.0
221,Valli,37,0.0,0.0,1.0
222,Valli,"38,43",27.0,0.0,20.0
223,Valli,"38,43",0.0,45.0,0.0
224,Valli,"38,43",0.0,0.0,1.0
225,Valli,"38,43",0.0,3.0,0.0
226,Valli,"38,43",0.0,0.0,5.0
227,Valli,"38,43",0.0,0.0,3.0
228,Valli,"38,43",0.0,0.0,2.0
229,Valli,"38,43",0.0,0.0,1.0
230,Valli,"38,43",0.0,0.0,2.0
231,Valli,39,30.0,40.0,0.0
232,Valli,39,0.0,15.0,0.0
233,Valli,39,0.0,0.0,12.0
234,Valli,39,0.0,10.0,0.0
235,Valli,39,0.0,0.0,3.0
236,Valli,39,0.0,0.0,3.0
237,Valli,39,0.0,0.0,1.0
238,Valli,39,0.0,0.0,3.0
239,Valli,39,0.0,8.0,0.0
240,Valli,39,0.0,0.0,2.0
241,Valli,39,0.0,0.0,7.0
242,Valli,39,0.0,8.0,0.0
243,Valli,39,0.0,0.0,1.0
244,Valli,39,0.0,0.0,1.0
245,Valli,39,0.0,0.0,1.0
246,Valli,39,0.0,0.0,2.0
247,Valli,40,7.0,0.0,7.0
248,Valli,40,0.0,0.0,4.0
249,Valli,40,0.0,0.0,1.0
250,Valli,40,0.0,0.0,7.0
251,Valli,40,0.0,0.0,1.0
252,Valli,41,8.0,0.0,3.0
253,Valli,41,0.0,2.0,0.0
254,Valli,41,0.0,10.0,0.0
255,Valli,41,0.0,0.0,8.0
256,Valli,42,8.0,0.0,0.0
257,Valli,42,0.0,15.0,0.0
258,Valli,44,0.0,0.0,22.0
259,Valli,44,0.0,0.0,1.0
260,Valli,44,0.0,0.0,2.0
261,Valli,44,0.0,0.0,2.0
262,Valli,45,32.0,20.0,0.0
263,Valli,45,0.0,0.0,30.0
264,Valli,45,0.0,0.0,5.0
265,Valli,45,0.0,40.0,0.0
266,Valli,45,0.0,0.0,3.0
267,Valli,45,0.0,0.0,2.0
268,Valli,45,0.0,0.0,1.0
269,Valli,45,0.0,0.0,1.0
270,Valli,46,11.0,0.0,25.0
271,Valli,46,0.0,0.0,20.0
272,Valli,46,0.0,0.0,6.0
273,Valli,46,0.0,0.0,1.0
274,Valli,46,0.0,0.0,1.0
275,Valli,46,0.0,0.0,1.0
276,Valli,49,6.0,0.0,40.0
277,Valli,49,0.0,0.0,2.0
278,Valli,49,0.0,0.0,2.0
279,Valli,49,0.0,0.0,2.0
280,Valli,50,0.0,0.0,1.0
281,Valli,51,4.0,0.0,0.0
282,Valli,51,0.0,0.0,1.0
283,Valli,51,0.0,0.0,15.0
284,Valli,51,0.0,0.0,2.0
285,Valli,51,0.0,0.0,1.0
286,Valli,51,0.0,0.0,1.0
287,Valli,52,40.0,0.0,0.0
288,Valli,52,0.0,0.0,1.0
289,Valli,52,0.0,0.0,5.0
290,Valli,52,0.0,0.0,6.0
291,Valli,52,0.0,150.0,0.0
292,Valli,52,0.0,0.0,1.0
293,Valli,52,0.0,0.0,30.0
294,Valli,52,0.0,45.0,0.0
295,Valli,52,0.0,10.0,0.0
296,Valli,52,0.0,0.0,7.0
297,Valli,52,0.0,0.0,10.0
298,Valli,52,0.0,0.0,1.0
299,Valli,52,0.0,0.0,1.0
300,Valli,52,0.0,0.0,1.0
301,Valli,53,33.0,2.0,0.0
302,Valli,53,0.0,30.0,0.0
303,Valli,53,0.0,0.0,2.0
304,Valli,53,0.0,3.0,0.0
305,Valli,53,0.0,0.0,2.0
306,Valli,53,12.0,0.0,0.0
307,Valli,53,0.0,0.0,5.0
308,Valli,53,0.0,0.0,3.0
309,Valli,54,0.0,0.0,1.0
310,Valli,55,3.0,0.0,0.0
