,alpha,bw,cell_size,convex_hull,convex_hull_buffer,exposure,isolation,kernel,km,year
136,1,500,25,True,1,0.323,0.336,triangle,0.017,1900
137,1,500,25,True,1,0.359,0.366,uniform,0.017,1900
138,1,500,25,True,1,0.322,0.335,distance_decay,0.018,1900
139,1,500,25,True,1,0.573,0.427,gaussian,0.006,1900
140,1,50,50,True,1,0.124,0.279,epanechnikov,0.1,1900
141,1,50,50,True,1,0.124,0.279,triangle,0.103,1900
142,1,50,50,True,1,0.133,0.265,uniform,0.088,1900
143,1,50,50,True,1,0.123,0.281,distance_decay,0.105,1900
144,1,50,50,True,1,0.723,0.276,gaussian,0.048,1900
145,1,100,50,True,1,0.159,0.275,epanechnikov,0.056,1900
146,1,100,50,True,1,0.159,0.274,triangle,0.056,1900
147,1,100,50,True,1,0.154,0.274,uniform,0.053,1900
148,1,100,50,True,1,0.159,0.275,distance_decay,0.057,1900
149,1,100,50,True,1,0.714,0.285,gaussian,0.03,1900
150,1,250,50,True,1,0.211,0.284,epanechnikov,0.029,1900
151,1,250,50,True,1,0.208,0.282,triangle,0.03,1900
152,1,250,50,True,1,0.226,0.291,uniform,0.027,1900
153,1,250,50,True,1,0.208,0.282,distance_decay,0.03,1900
154,1,250,50,True,1,0.652,0.349,gaussian,0.013,1900
155,1,500,50,True,1,0.327,0.326,epanechnikov,0.017,1900
156,1,500,50,True,1,0.319,0.32,triangle,0.017,1900
157,1,500,50,True,1,0.356,0.351,uniform,0.016,1900
158,1,500,50,True,1,0.318,0.319,distance_decay,0.018,1900
159,1,500,50,True,1,0.581,0.419,gaussian,0.006,1900
160,1,50,100,True,1,0.318,0.224,epanechnikov,0.111,1900
161,1,50,100,True,1,0.319,0.228,triangle,0.119,1900
162,1,50,100,True,1,0.311,0.177,uniform,0.085,1900
163,1,50,100,True,1,0.318,0.231,distance_decay,0.123,1900
164,1,50,100,True,1,0.802,0.2,gaussian,0.046,1900
165,1,100,100,True,1,0.138,0.241,epanechnikov,0.058,1900
166,1,100,100,True,1,0.144,0.238,triangle,0.059,1900
167,1,100,100,True,1,0.126,0.258,uniform,0.059,1900
168,1,100,100,True,1,0.143,0.237,distance_decay,0.06,1900
169,1,100,100,True,1,0.75,0.249,gaussian,0.029,1900
170,1,250,100,True,1,0.575,0.229,epanechnikov,0.029,1900
171,1,250,100,True,1,0.58,0.226,triangle,0.03,1900
172,1,250,100,True,1,0.552,0.237,uniform,0.027,1900
173,1,250,100,True,1,0.581,0.226,distance_decay,0.031,1900
174,1,250,100,True,1,0.692,0.308,gaussian,0.013,1900
175,1,500,100,True,1,0.323,0.296,epanechnikov,0.017,1900
176,1,500,100,True,1,0.314,0.29,triangle,0.017,1900
177,1,500,100,True,1,0.352,0.323,uniform,0.016,1900
178,1,500,100,True,1,0.313,0.289,distance_decay,0.017,1900
179,1,500,100,True,1,0.597,0.404,gaussian,0.006,1900
