,alpha,bw,cell_size,convex_hull,convex_hull_buffer,kernel,s,year
187,1,100,50,True,1,triangle,0.518,1880
188,1,100,50,True,1,biweight,0.52,1880
189,1,100,50,True,1,epanechnikov,0.508,1880
190,1,150,50,True,1,uniform,0.395,1880
191,1,150,50,True,1,gaussian,0.221,1880
192,1,150,50,True,1,triangle,0.434,1880
193,1,150,50,True,1,biweight,0.436,1880
194,1,150,50,True,1,epanechnikov,0.423,1880
195,1,250,50,True,1,uniform,0.274,1880
196,1,250,50,True,1,gaussian,0.118,1880
197,1,250,50,True,1,triangle,0.325,1880
198,1,250,50,True,1,biweight,0.326,1880
199,1,250,50,True,1,epanechnikov,0.311,1880
200,1,25,75,True,1,uniform,0.777,1880
201,1,25,75,True,1,gaussian,0.593,1880
202,1,25,75,True,1,triangle,0.778,1880
203,1,25,75,True,1,biweight,0.777,1880
204,1,25,75,True,1,epanechnikov,0.775,1880
205,1,50,75,True,1,uniform,0.588,1880
206,1,50,75,True,1,gaussian,0.463,1880
207,1,50,75,True,1,triangle,0.674,1880
208,1,50,75,True,1,biweight,0.675,1880
209,1,50,75,True,1,epanechnikov,0.665,1880
210,1,100,75,True,1,uniform,0.463,1880
211,1,100,75,True,1,gaussian,0.315,1880
212,1,100,75,True,1,triangle,0.514,1880
213,1,100,75,True,1,biweight,0.516,1880
214,1,100,75,True,1,epanechnikov,0.503,1880
215,1,150,75,True,1,uniform,0.389,1880
216,1,150,75,True,1,gaussian,0.222,1880
217,1,150,75,True,1,triangle,0.432,1880
218,1,150,75,True,1,biweight,0.434,1880
219,1,150,75,True,1,epanechnikov,0.421,1880
220,1,250,75,True,1,uniform,0.268,1880
221,1,250,75,True,1,gaussian,0.118,1880
222,1,250,75,True,1,triangle,0.324,1880
223,1,250,75,True,1,biweight,0.325,1880
224,1,250,75,True,1,epanechnikov,0.31,1880
