id,district,plot.number,plot.part,taxpayer.men,taxpayer.women,no.tax.men,no.tax.women,in.russia.men,in.russia.women,total.men,total.women,owner,rent,other,orthodox,other.christian,other.religion,draftee
154,1,34,,2,10,0,0,0,0,2,10,3,9,0,0,0,0,0
155,1,35,,3,1,0,1,0,0,3,2,3,2,0,0,0,0,0
156,1,35,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
157,1,35,,1,2,0,2,0,0,1,4,0,5,0,0,0,0,0
158,1,36,,2,3,2,1,0,0,4,4,4,4,0,0,0,0,0
159,1,36,,2,1,4,2,0,0,6,3,8,1,0,0,0,0,0
160,1,36,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
161,1,36,,4,0,1,0,0,0,5,0,0,5,0,0,0,0,1
162,1,37,,2,2,0,0,0,0,2,2,4,0,0,4,0,0,0
163,1,37,,2,1,3,0,0,0,5,1,0,6,0,0,0,0,0
164,1,37,,3,6,0,0,0,0,3,6,0,9,0,0,0,0,0
165,1,38,,3,4,0,1,0,0,3,5,1,7,0,0,0,0,0
166,1,38,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
167,1,38,,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
168,1,38,,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
169,1,38,,5,2,1,0,0,0,6,2,7,1,0,0,0,0,0
170,1,38,,1,4,0,0,0,0,1,4,3,2,0,0,0,0,0
171,1,38,,5,3,1,2,0,0,6,5,9,2,0,0,0,0,1
172,1,38,,1,2,0,1,0,0,1,3,0,4,0,0,0,0,0
173,1,39,,4,9,0,3,0,0,4,12,14,2,0,14,0,0,0
174,1,39,,0,3,0,4,0,0,0,7,5,2,0,0,0,0,0
175,1,39,,1,5,0,0,0,0,1,5,2,4,0,1,0,0,0
176,1,39,,4,2,0,0,0,0,4,2,2,4,0,0,0,0,1
177,1,40,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,1,41,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,1,42,,1,5,0,0,0,0,1,5,4,2,0,0,0,0,0
180,1,42,,7,0,0,0,0,0,7,0,0,7,0,0,0,0,1
181,1,42,,1,1,1,0,0,0,2,1,0,3,0,0,0,0,0
182,1,44,,2,3,2,0,0,0,4,3,7,0,0,0,0,0,0
183,1,44,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
184,1,44,,1,3,0,0,0,0,1,3,2,2,0,0,0,0,0
185,1,44,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
186,1,44,,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
187,1,44,,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
188,1,44,,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
189,1,44,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
190,1,44,,1,1,1,1,0,0,2,2,4,0,0,4,0,0,0
191,1,44,,1,1,3,0,0,0,4,1,5,0,0,5,0,0,0
192,1,44,,1,1,0,0,0,0,1,1,2,0,0,2,0,0,1
193,1,44,,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
